"THE_TE_UID_1","THE_TE_UID_2"
68550,71423
68551,71367
68552,91656
68562,70918
68565,104173
68599,68596
68616,70741
68677,87746
68711,93030
68718,92358
68761,68765
68761,70309
68763,70309
68763,68765
68764,68765
68764,70311
68770,68765
68772,68765
68772,70309
68809,93370
68813,78227
68847,91237
68849,68812
68902,68892
68912,68911
68913,68911
68929,71518
68931,103392
68936,68942
68937,68933
68938,68939
68940,103392
68941,68942
68953,71378
68956,71498
68968,71409
68982,68854
68982,70401
68992,70401
68992,68977
68993,70401
68993,68998
69003,97280
69030,71392
69054,91279
69145,70720
69151,69152
69169,71229
69169,71202
69202,71740
69243,69244
69246,92924
69248,69247
69269,69268
69282,69283
69286,87137
69293,69271
69294,69271
69295,71815
69300,69116
69344,78209
69349,68924
69351,92319
69372,87459
69390,94214
69405,91516
69412,129043
69413,87776
69436,71740
69437,69094
69460,76689
69934,71554
69972,70371
69972,69967
69983,70061
69983,70371
69984,70426
69984,70061
69989,70061
69989,69987
70013,70015
70013,70008
70013,70016
70013,70014
70013,70011
70022,70018
70023,70036
70059,70057
70066,70003
70066,70047
70066,70004
70066,70046
70067,70003
70067,70046
70067,70047
70067,70004
70073,70046
70105,92762
70106,92762
70112,93014
70127,70150
70132,93582
70141,91101
70200,70178
70201,70179
70218,71373
70230,91335
70231,93079
70246,71193
70246,70245
70258,91322
70289,70432
70307,71324
70418,91528
70427,93281
70444,70810
70446,71413
70447,71511
70470,70354
70471,70378
70472,70379
70473,70380
70474,70412
70476,68545
70477,103392
70478,68700
70479,70205
70480,70209
70481,70264
70482,68634
70483,68634
70485,68544
70486,69333
70487,69049
70489,68646
70491,70488
70494,68709
70495,68709
70497,70498
70499,68811
70503,69962
70506,68660
70511,70355
70513,68578
70515,70309
70521,93887
70524,68814
70525,70120
70525,70153
70526,70153
70526,70177
70528,69138
70529,68907
70530,68818
70531,93030
70532,93030
70533,93030
70534,93030
70535,70153
70535,70166
70535,70135
70535,70120
70536,70166
70536,70135
70536,70153
70536,70490
70537,70177
70537,69975
70537,70153
70538,70166
70538,70153
70538,70177
70539,70153
70539,70177
70540,70153
70540,70120
70541,70177
70541,70153
70549,69115
70552,68836
70553,68836
70554,69929
70555,69081
70556,68916
70557,70000
70557,70044
70559,70000
70560,70054
70561,68560
70565,68712
70567,68712
70568,68824
70569,68827
70572,68961
70573,69965
70574,68744
70575,69965
70576,70167
70576,70154
70576,70120
70577,70167
70577,70490
70577,70154
70578,70154
70578,69975
70578,70177
70579,70177
70579,70167
70579,70154
70580,68932
70581,68932
70583,71815
70584,69179
70585,69180
70586,69180
70587,69180
70588,68925
70591,70155
70592,70331
70597,70323
70598,70323
70599,70323
70600,70323
70602,70331
70603,70331
70604,70331
70605,70331
70609,68642
70610,91279
70613,70981
70614,70214
70615,70214
70616,70120
70616,70137
70619,70270
70620,68590
70624,70064
70625,70053
70626,70256
70627,69990
70628,91656
70629,91656
70630,68735
70633,69254
70634,69204
70636,70635
70643,70288
70644,70288
70645,70288
70647,70432
70649,68933
70650,69215
70651,70259
70652,70026
70653,70026
70654,70150
70655,70177
70655,70156
70656,70156
70657,68833
70658,68838
70659,68841
70661,69975
70662,68797
70663,69978
70664,69978
70665,70018
70665,70384
70666,70384
70666,68977
70667,70124
70669,70119
70669,70152
70669,70165
70669,70134
70671,70053
70672,70053
70673,68636
70674,69093
70675,70223
70678,68768
70679,68768
70680,70064
70681,70064
70682,70064
70683,70064
70684,69970
70685,69967
70686,69967
70691,68601
70693,68569
70694,69084
70695,94214
70696,69980
70697,70029
70702,70071
70703,70071
70704,70120
70704,70157
70704,70168
70705,70168
70705,70177
70705,70157
70706,69992
70707,68915
70708,68754
70709,68908
70710,68908
70713,68613
70714,68735
70715,70460
70716,69939
70717,70120
70717,70169
70717,70158
70718,70158
70718,70177
70718,70169
70722,68762
70725,69146
70726,68558
70728,70175
70729,68615
70730,68739
70731,70190
70732,68661
70734,70382
70735,68652
70736,68855
70737,68908
70738,70165
70738,70134
70738,70119
70738,70152
70739,70374
70740,70374
70740,70396
70742,70064
70743,70270
70744,68580
70745,68580
70747,68555
70749,68653
70752,68928
70754,68785
70755,68947
70756,68947
70757,68725
70758,68653
70759,68944
70760,70412
70761,69987
70762,69987
70764,69987
70765,69987
70766,69987
70767,69987
70769,69987
70770,68853
70771,69994
70772,71421
70773,70145
70774,70145
70776,68558
70778,68882
70779,70355
70783,70352
70784,70117
70785,68586
70786,68586
70787,68590
70791,70376
70792,97280
70794,70462
70794,91817
70794,70445
70798,69125
70800,70177
70800,70170
70801,68838
70802,69356
70803,68558
70804,70441
70805,70441
70806,70443
70807,69099
70811,70266
70812,70266
70813,68727
70817,70100
70818,68869
70819,70006
70820,69093
70822,69369
70823,69369
70828,68638
70829,68638
70831,69464
70832,68854
70834,68854
70835,68854
70836,68854
70837,68854
70838,68854
70840,68981
70841,70354
70843,71483
70844,70237
70845,70237
70846,68917
70849,69101
70853,68625
70853,70426
70854,68633
70855,68866
70860,68867
70862,68593
70863,68600
70864,68600
70866,70053
70867,129043
70868,70035
70869,94214
70870,94214
70871,70445
70872,70445
70873,70445
70874,70445
70875,70445
70878,68996
70880,69013
70881,70138
70881,70177
70883,69225
70887,68868
70889,68877
70890,68877
70892,70336
70893,70192
70894,70171
70894,70120
70895,70140
70897,68882
70898,68882
70900,69321
70901,69321
70902,69321
70907,70354
70907,68594
70910,70139
70910,70159
70910,70177
70911,69367
70911,93818
70913,69366
70916,69091
70917,69088
70919,70239
70921,70160
70921,70177
70922,68646
70923,69150
70924,70081
70925,70053
70927,68927
70928,68927
70929,68885
70931,68791
70932,70283
70934,70283
70937,69152
70938,69152
70940,68977
70942,68680
70942,87136
70942,70943
70944,70247
70951,69456
70953,70229
70955,70203
70957,70097
70958,68768
70959,70000
70960,70085
70961,70203
70962,68973
70964,68642
70969,92267
70970,71546
70971,70263
70972,70263
70974,71546
70978,70175
70979,68793
70980,68928
70982,68951
70983,70000
70985,70031
70986,68601
70987,69112
70988,68964
70990,68964
70991,68986
70992,69369
70995,69200
70996,69001
70997,68794
70999,70100
71000,70100
71001,70100
71002,70018
71003,69263
71005,69236
71007,69109
71008,69237
71009,68639
71011,70905
71012,69110
71013,69110
71014,68733
71015,69203
71017,69980
71020,69274
71021,70000
71022,69024
71024,68999
71026,93194
71027,69033
71028,70190
71029,68858
71030,70190
71031,70190
71032,68859
71034,71511
71035,92453
71036,68717
71037,69218
71038,68868
71038,68881
71039,68881
71043,70241
71044,68952
71046,68626
71047,70378
71048,68890
71049,68890
71050,68988
71056,70185
71060,69162
71062,68626
71063,68626
71064,68626
71066,68653
71067,68948
71069,69024
71072,70185
71073,70064
71074,91581
71075,91833
71076,68765
71077,91583
71078,68704
71079,70185
71081,69337
71083,69347
71085,70119
71086,70185
71087,70089
71088,70315
71089,69952
71090,68841
71091,68842
71092,70382
71093,70382
71094,70263
71095,68858
71097,70165
71101,70053
71103,68645
71105,68639
71106,68639
71107,69101
71108,68998
71109,68990
71112,69111
71114,68744
71116,70185
71119,68607
71121,68747
71122,69032
71128,69157
71129,69158
71130,69158
71131,68899
71134,92358
71135,70180
71140,68660
71141,69086
71142,70398
71147,69001
71147,159195
71148,159195
71148,68750
71150,68650
71151,68650
71152,69715
71153,69161
71154,69247
71158,68734
71161,68723
71162,68901
71163,69093
71168,68881
71168,68868
71170,70161
71170,70120
71171,70172
71171,70161
71171,70177
71174,70450
71175,70450
71176,68800
71181,71182
71183,69465
71184,68661
71184,162892
71186,70241
71192,70240
71194,70247
71201,70364
71203,68975
71204,68665
71205,68628
71207,70460
71208,70467
71209,70264
71211,68957
71212,69375
71213,70010
71214,68911
71217,68873
71219,87776
71220,70010
71220,70054
71221,70283
71224,69165
71225,70181
71226,68976
71228,69167
71230,69167
71231,70270
71233,70162
71233,70120
71234,68994
71237,69323
71240,68686
71243,70459
71246,69072
71247,68571
71249,68839
71250,68571
71255,68571
71256,69005
71257,69288
71258,68608
71259,68804
71260,69006
71261,69006
71263,70173
71263,70177
71264,70412
71265,70412
71266,69292
71267,68859
71269,70190
71273,69302
71274,69326
71276,70390
71277,70054
71277,70017
71279,68775
71280,69373
71281,69297
71282,70188
71287,69402
71288,69401
71291,68652
71294,69317
71297,69079
71298,70198
71299,70428
71301,70163
71301,70120
71302,70177
71302,70163
71305,70281
71306,70282
71307,68959
71308,70269
71310,68840
71312,93612
71314,69046
71315,69044
71316,70177
71316,70164
71318,70056
71319,68987
71320,70058
71326,68653
71327,68653
71332,70466
71333,68652
71337,68928
71338,69301
71339,68657
71358,70083
71360,91656
71370,71374
71382,68553
71389,68765
71395,70093
71397,71423
71400,68969
71400,69001
71403,68954
71407,91656
71420,69987
71426,93211
71435,68901
71438,91656
71451,68748
71452,68779
71452,68803
71461,71503
71470,91656
71472,69332
71474,68722
71479,71054
71482,143781
71488,71422
71536,87457
71537,71423
71542,71359
71544,91430
71551,71741
71552,91228
71553,70260
71555,70413
71555,69343
71570,93104
71570,91085
71570,91935
71570,91696
71570,93525
71575,69377
71576,68928
71583,68700
71583,69967
71592,70249
71601,68699
71601,71599
71605,71384
71611,71391
71621,70370
71625,71503
71625,71812
71631,71528
71633,70229
71646,71531
71648,70152
71648,70372
71650,68709
71650,69967
71651,68928
71654,69967
71654,68716
71655,70120
71655,69967
71655,70177
71662,71603
71669,93286
71670,147269
71672,90421
71679,68734
71680,92772
71691,71359
71691,70466
71704,93463
71706,68833
71706,70371
71707,70450
71710,71558
71711,93746
71714,68723
71714,69967
71720,68706
71727,93397
71727,68928
71727,70413
71728,71579
71730,93030
71732,68807
71733,68803
71735,70259
71738,71377
71748,71398
71749,68571
71750,70349
71760,68709
71764,71359
71764,92616
71772,70976
71772,70152
71773,68686
71777,68971
71786,70405
71789,92640
71792,93510
71796,68754
71800,90199
71804,68641
71804,68973
71821,69389
71837,69452
71837,70288
71858,71834
74788,93475
74792,69946
77322,71768
78148,69101
78151,97276
78157,78156
78159,78158
78160,78143
78190,78189
78192,69063
78195,69157
78212,78211
78232,68657
78239,93121
78268,68735
78269,71372
78316,70264
78332,71483
78489,70270
78874,68704
78878,92849
78883,92437
78917,87165
78923,79032
78931,78930
78934,78906
78953,118633
78990,82915
79005,79121
79020,111793
79038,109033
79048,79032
79068,79069
79088,79086
79111,79086
79112,78889
79113,79086
79182,111794
79190,78961
79232,109273
80443,91285
82760,83581
82792,84569
82890,100213
82893,91540
83103,78958
83111,79101
83211,70943
83213,109173
83243,91516
83248,83212
83249,93588
83350,69222
83352,91296
83352,100541
83548,78905
83570,83569
83625,83624
83629,68600
83630,68600
83818,111773
83874,78929
83989,84110
83990,164106
83990,68641
84112,93166
84229,91971
84257,84146
84257,87450
84285,79101
84572,82798
84597,93588
84616,91180
84617,69245
84701,68698
84701,92359
85632,79132
86342,86416
86504,69470
86505,92102
86506,92102
86507,92102
86508,92102
87146,87945
87399,93574
87466,69365
87472,69100
87476,69369
87498,71484
87500,87511
87504,71379
87512,71808
87520,71829
87526,71826
87648,69320
87657,69223
87661,69223
87662,69149
87676,69357
87678,69469
87678,90198
87679,68709
87684,69452
87686,71627
87695,68971
87708,90291
87709,74805
87716,71374
87722,71627
87726,68754
87728,71677
87729,71677
87734,92762
87738,71666
87748,90519
87761,92648
87767,92486
87771,90198
87771,69469
87777,93220
87804,69451
87804,69370
87810,69118
87810,70371
87820,69469
87824,69288
87824,71359
87935,71647
87941,71834
87960,100510
87961,97291
88506,78897
88548,79101
88688,79101
90110,79181
90117,92215
90327,68803
90916,68814
90954,71432
90962,70219
90974,91680
90975,70120
90975,68547
90976,70214
90976,70120
90977,69980
90977,70120
90978,70120
90978,70371
90979,70372
90979,70120
90980,68969
90980,70120
90981,70116
90984,71687
90985,92722
90991,93370
90992,93370
90993,92970
90993,69048
90994,71671
90998,68709
90999,68709
91000,68709
91001,68709
91007,71415
91008,71515
91009,68821
91010,160366
91011,71324
91012,87802
91014,71324
91015,69049
91018,91883
91019,92610
91020,87802
91021,93542
91024,90115
91026,92690
91029,91030
91035,69962
91037,71639
91039,71627
91048,69176
91049,71659
91051,69012
91054,71808
91056,68803
91057,68578
91058,71508
91060,71444
91061,70432
91062,70432
91063,78872
91064,78872
91067,91792
91070,69245
91072,93286
91073,68821
91074,92617
91075,162932
91076,69218
91077,71687
91080,69013
91081,92617
91083,71705
91084,93456
91086,68778
91089,71572
91090,68709
91091,93030
91096,91095
91097,92767
91098,93595
91100,91099
91102,70125
91103,93642
91105,71514
91106,71514
91110,91104
91112,87808
91113,91914
91115,68928
91116,68923
91118,70094
91119,69427
91121,91120
91128,91127
91129,71572
91129,91127
91130,71554
91131,71554
91133,71825
91134,71639
91135,71825
91136,71825
91137,69964
91138,68916
91141,68820
91142,68821
91143,92472
91144,71361
91146,69420
91147,68823
91149,68823
91150,70433
91151,91156
91152,70433
91155,68804
91155,68796
91157,68709
91158,68709
91158,69967
91159,68822
91161,71483
91162,70449
91163,69967
91163,68709
91164,68574
91166,92585
91167,91783
91170,69965
91175,70126
91177,68570
91187,69008
91188,92233
91190,69092
91192,93868
91194,71756
91197,69404
91198,69404
91199,69404
91200,69404
91201,69404
91202,69140
91203,69140
91207,71661
91208,90322
91210,71534
91211,71681
91212,92741
91214,69180
91215,69088
91216,71473
91217,69052
91221,69211
91222,69439
91223,69935
91224,92553
91225,68822
91227,71591
91229,69128
91230,68810
91232,87656
91233,70070
91234,70155
91235,70155
91236,91180
91238,69400
91241,68754
91242,71434
91247,91246
91248,91246
91249,69012
91250,68924
91251,70595
91252,70264
91253,69128
91254,68803
91255,91656
91256,159185
91260,159185
91263,68719
91263,90116
91264,68719
91265,71367
91266,69212
91267,68801
91268,71367
91269,69715
91271,71579
91272,71359
91273,70413
91273,69121
91274,93696
91275,68642
91280,71500
91283,91059
91284,91285
91288,70214
91289,70566
91291,91292
91293,93286
91299,69252
91303,71572
91304,91656
91308,92081
91310,70053
91311,70256
91313,92585
91314,68545
91316,104173
91317,91322
91318,68924
91323,68781
91324,69435
91324,70720
91325,69204
91326,71632
91331,70432
91332,87743
91333,71712
91336,71378
91339,70288
91339,68959
91340,68959
91340,70288
91344,69141
91345,91346
91349,68933
91350,68933
91351,68933
91356,71377
91358,92700
91360,70070
91365,71577
91366,71377
91367,70417
91369,70259
91372,70260
91373,70260
91375,103212
91380,69216
91381,68833
91381,70372
91382,68841
91385,91041
91387,68807
91388,93569
91390,71688
91391,69975
91392,69975
91392,70177
91393,93162
91394,71638
91395,71582
91396,71639
91397,91220
91399,87808
91404,91046
91405,68822
91406,93286
91407,68702
91408,91409
91410,71374
91411,69144
91416,70053
91416,68641
91419,71588
91420,91418
91421,91418
91422,91418
91424,71182
91427,68782
91428,87929
91429,71659
91431,91827
91433,93020
91435,71751
91437,91881
91441,69144
91448,91656
91451,68734
91456,92823
91462,92358
91463,71755
91464,68928
91465,71688
91468,71627
91469,92819
91471,69122
91473,69122
91474,69431
91475,69938
91480,91477
91482,68833
91483,68712
91484,71455
91485,68916
91486,71455
91487,71455
91488,71311
91491,92157
91493,70342
91499,92929
91501,70243
91502,94214
91503,69965
91505,69307
91507,70278
91512,69317
91515,68803
91519,93588
91520,70490
91520,70158
91520,70169
91522,70129
91524,69098
91525,71441
91527,91528
91533,70350
91534,71500
91535,71516
91538,70350
91539,69386
91541,87928
91542,87827
91544,93608
91545,68880
91546,92448
91551,91550
91554,93527
91555,93527
91556,93527
91557,93527
91559,92267
91562,71762
91562,88556
91562,71659
91562,68697
91564,93020
91565,71687
91566,91563
91567,78797
91568,70720
91568,69097
91569,70720
91569,92640
91571,69435
91571,70720
91572,71516
91573,70720
91573,71483
91574,71671
91577,68783
91580,71833
91582,69715
91584,69715
91584,68765
91587,91585
91589,69980
91591,93746
91596,69941
91599,69218
91602,69124
91603,71639
91604,92762
91605,71627
91606,91476
91609,71568
91613,69967
91613,70120
91613,70177
91614,70120
91614,70177
91614,69980
91615,93684
91616,91389
91619,71755
91621,69422
91622,69271
91624,93141
91625,91006
91626,68954
91627,87457
91628,87457
91631,71658
91632,71455
91633,70430
91634,71391
91635,71515
91638,90115
91638,68716
91643,71455
91645,68947
91647,71455
91648,68735
91649,71434
91650,68743
91652,68725
91653,68582
91654,68798
91657,71658
91664,68557
91666,69967
91666,70078
91668,69944
91669,92453
91670,147272
91671,91672
91687,91686
91688,71391
91689,71671
91691,69450
91693,82817
91700,68934
91701,68934
91705,68803
91705,68781
91706,68822
91710,93470
91711,68806
91713,71741
91715,71444
91716,92783
91721,68557
91723,71741
91725,71504
91726,69973
91727,71627
91728,71627
91729,71627
91732,69125
91734,71434
91738,69451
91738,69362
91742,69451
91742,70454
91743,69451
91743,70241
91746,69451
91746,70422
91747,88199
91748,70426
91748,69451
91749,69451
91749,68806
91750,71708
91753,69453
91754,70332
91754,69453
91755,93260
91756,69453
91756,70371
91757,69453
91757,70372
91758,71359
91758,69453
91760,69453
91760,70413
91761,92215
91762,93470
91764,68603
91765,87144
91766,91045
91768,94009
91772,104173
91774,71617
91775,70342
91776,71529
91777,69452
91779,68973
91779,68641
91780,87776
91782,68558
91785,70441
91786,69370
91787,69099
91789,68803
91790,68803
91793,91352
91796,71278
91799,68812
91800,69203
91801,69422
91802,71827
91803,69100
91804,70429
91805,71500
91806,70612
91808,87938
91810,71528
91812,92760
91815,71484
91816,71484
91818,70462
91824,71504
91826,69973
91828,71636
91829,71455
91830,92913
91838,69422
91839,69369
91840,69369
91841,69938
91843,93072
91845,69247
91848,92447
91850,92112
91851,92112
91853,68803
91855,68928
91857,93337
91858,93337
91860,68701
91861,71675
91864,92289
91865,68775
91866,71572
91868,71398
91868,68560
91870,71579
91872,71398
91873,71398
91874,69435
91874,91867
91876,93269
91877,69942
91878,69973
91884,90322
91886,91885
91888,71415
91893,69013
91894,69317
91898,71379
91899,92009
91900,68971
91900,69118
91901,71579
91902,71579
91903,71516
91906,68789
91908,68592
91911,71515
91912,70976
91912,70120
91912,70177
91915,70810
91920,91919
91928,92358
91934,84599
91937,71687
91940,71572
91943,91942
91945,69133
91946,87689
91949,87689
91950,69133
91956,71701
91958,87927
91962,93533
91965,91964
91968,92585
91972,70445
91975,91973
91977,91982
91978,68803
91981,69012
91983,140495
91987,68582
91988,68582
91989,68742
91990,70138
91990,70490
91999,91239
92000,92884
92001,71535
92001,71809
92002,69944
92004,70083
92008,71671
92011,69225
92012,69225
92013,69221
92015,68719
92016,69967
92016,68719
92017,92827
92019,68569
92021,92023
92021,146429
92022,92023
92022,146429
92024,92023
92025,70405
92026,69973
92027,68701
92028,71434
92029,99660
92031,68709
92032,71673
92033,71673
92034,68806
92035,92007
92036,92310
92037,71627
92038,70140
92038,69980
92039,69980
92039,70140
92040,70372
92040,70140
92042,69274
92044,92043
92045,92153
92047,69321
92050,68789
92054,69175
92056,70370
92057,91509
92063,68926
92064,71398
92065,71398
92066,71398
92067,69954
92069,69313
92072,69037
92075,71398
92076,87924
92076,68641
92079,68641
92079,71405
92082,69018
92084,92086
92085,92086
92090,71398
92091,71398
92094,92611
92095,92611
92099,87940
92105,69365
92106,70372
92106,69967
92107,68971
92108,68971
92109,68971
92113,68685
92115,71695
92117,92007
92118,70130
92119,92267
92121,92267
92123,71666
92124,90116
92124,68719
92126,69091
92128,69092
92129,93588
92131,92130
92132,71685
92133,92130
92134,68569
92136,71671
92140,70160
92140,70490
92146,71708
92147,92145
92148,68838
92149,71504
92151,132373
92152,71473
92154,70277
92155,71473
92159,69071
92159,69392
92161,92160
92162,69022
92163,70277
92164,111513
92165,92611
92167,70283
92168,70283
92169,68706
92170,71658
92172,92175
92173,92741
92174,91348
92179,93266
92183,71729
92184,88215
92186,93338
92187,91944
92188,68765
92189,91656
92192,100224
92196,147272
92198,68706
92199,91322
92200,68952
92201,90214
92202,69440
92205,92467
92207,68803
92208,87917
92209,71579
92210,71497
92211,68713
92212,68713
92219,71828
92224,68569
92225,68569
92226,93020
92227,93020
92231,92230
92234,69401
92237,91849
92239,93598
92241,93266
92245,143476
92246,68570
92247,68570
92251,90116
92252,71503
92253,147270
92254,71671
92259,68564
92264,68822
92266,71808
92269,71546
92274,93818
92275,91046
92277,92276
92278,93397
92283,69410
92287,71379
92293,68716
92293,68969
92297,91563
92301,71054
92303,68723
92304,68723
92305,92358
92306,92861
92308,92145
92312,68602
92315,69183
92316,69183
92317,92313
92318,82817
92329,92334
92330,92332
92331,92332
92333,92334
92335,71585
92337,71587
92338,71587
92339,71409
92340,93030
92342,94093
92344,69362
92348,70120
92350,77163
92352,71516
92353,71516
92355,68719
92357,71835
92361,71671
92365,93030
92366,91702
92367,71432
92369,71572
92371,91490
92374,69108
92375,71579
92376,92204
92377,71500
92379,92358
92382,93588
92385,71639
92387,69469
92388,71740
92390,70195
92391,69210
92394,87918
92395,93588
92398,71568
92403,68928
92403,68603
92409,69133
92411,69221
92412,69221
92413,70122
92414,92296
92415,70175
92416,70175
92417,70123
92418,93529
92419,70176
92420,92023
92422,71677
92425,71620
92427,91511
92431,92430
92435,92437
92436,70419
92438,91579
92439,71627
92440,68880
92442,71359
92449,71513
92450,92553
